ds,y
2021-12-01,1357
2021-12-02,1513
2021-12-03,1683
2021-12-04,1477
2021-12-05,687
2021-12-06,1292
2021-12-07,1347
2021-12-08,1356
2021-12-09,1358
2021-12-10,1454
2021-12-11,1306
2021-12-12,1108
2021-12-13,1374
2021-12-14,1425
2021-12-15,1495
2021-12-16,1450
2021-12-17,1600
2021-12-18,1465
2021-12-19,1241
2021-12-20,1386
2021-12-21,1514
2021-12-22,1676
2021-12-23,1517
2021-12-24,1150
2021-12-25,379
2021-12-26,732
2021-12-27,1257
2021-12-28,1489
2021-12-29,1504
2021-12-30,1504
2021-12-31,1195
1905-07-14,
2022-01-01,437
2022-01-02,535
2022-01-03,1051
2022-01-04,1176
2022-01-05,1241
2022-01-06,1285
2022-01-07,1389
2022-01-08,1384
2022-01-09,322
2022-01-10,1017
2022-01-11,1261
2022-01-12,1276
2022-01-13,1397
2022-01-14,1471
2022-01-15,1488
2022-01-16,522
2022-01-17,1184
2022-01-18,1270
2022-01-19,1345
2022-01-20,1317
2022-01-21,1441
2022-01-22,1392
2022-01-23,519
2022-01-24,1172
2022-01-25,1338
2022-01-26,1347
2022-01-27,1244
2022-01-28,1526
2022-01-29,1528
2022-01-30,452
2022-01-31,1073
2022-02-01,1266
2022-02-02,1346
2022-02-03,1413
2022-02-04,1446
2022-02-05,1411
2022-02-06,538
2022-02-07,1182
2022-02-08,1386
2022-02-09,1491
2022-02-10,1510
2022-02-11,1509
2022-02-12,1547
2022-02-13,581
2022-02-14,1178
2022-02-15,1385
2022-02-16,1357
2022-02-17,1442
2022-02-18,1533
2022-02-19,1557
2022-02-20,546
2022-02-21,1109
2022-02-22,1432
2022-02-23,1540
2022-02-24,1378
2022-02-25,1585
2022-02-26,1584
2022-02-27,592
2022-02-28,1235
2022-03-01,1533
2022-03-02,1425
2022-03-03,1479
2022-03-04,1635
2022-03-05,1548
2022-03-06,571
2022-03-07,1209
2022-03-08,1382
2022-03-09,1340
2022-03-10,1452
2022-03-11,1559
2022-03-12,1493
2022-03-13,546
2022-03-14,1124
2022-03-15,1374
2022-03-16,1402
2022-03-17,1425
2022-03-18,1599
2022-03-19,1507
2022-03-20,561
2022-03-21,1153
2022-03-22,1387
2022-03-23,1377
2022-03-24,1510
2022-03-25,1719
2022-03-26,1585
2022-03-27,588
2022-03-28,1094
2022-03-29,1446
2022-03-30,1321
2022-03-31,1529
2022-04-01,1630
2022-04-02,1710
2022-04-03,672
2022-04-04,1195
2022-04-05,1462
2022-04-06,1480
2022-04-07,1564
2022-04-08,1651
2022-04-09,1671
2022-04-10,1092
2022-04-11,1255
2022-04-12,1523
2022-04-13,1569
2022-04-14,1642
2022-04-15,1728
2022-04-16,1551
2022-04-17,810
2022-04-18,678
2022-04-19,1182
2022-04-20,1278
2022-04-21,1468
2022-04-22,1626
2022-04-23,1428
2022-04-24,710
2022-04-25,1028
2022-04-26,1432
2022-04-27,1447
2022-04-28,1342
2022-04-29,1662
2022-04-30,1486
2022-05-01,652
2022-05-02,1193
2022-05-03,1188
2022-05-04,243
2022-05-05,1553
2022-05-06,1610
2022-05-07,1302
2022-05-08,1050
2022-05-09,1209
2022-05-10,1420
2022-05-11,1497
2022-05-12,1490
2022-05-13,1747
2022-05-14,1651
2022-05-15,544
2022-05-16,1161
2022-05-17,1472
2022-05-18,1441
2022-05-19,1547
2022-05-20,1621
2022-05-21,1432
2022-05-22,986
2022-05-23,1256
2022-05-24,1523
2022-05-25,1585
2022-05-26,768
2022-05-27,1498
2022-05-28,1400
2022-05-29,600
2022-05-30,1199
2022-05-31,1520
2022-06-01,1526
2022-06-02,1526
2022-06-03,1642
2022-06-04,1423
2022-06-05,1073
2022-06-06,668
2022-06-07,1604
2022-06-08,1493
2022-06-09,1540
2022-06-10,1715
2022-06-11,1551
2022-06-12,582
2022-06-13,1182
2022-06-14,1355
2022-06-15,1350
2022-06-16,1385
2022-06-17,1441
2022-06-18,1098
2022-06-19,565
2022-06-20,1189
2022-06-21,1800
2022-06-22,1691
2022-06-23,1588
2022-06-24,1689
2022-06-25,1522
2022-06-26,475
2022-06-27,1165
2022-06-28,1574
2022-06-29,1528
2022-06-30,1503
2022-07-01,1777
2022-07-02,1487
2022-07-03,588
2022-07-04,1241
2022-07-05,1405
2022-07-06,1596
2022-07-07,1598
2022-07-08,1650
2022-07-09,1474
2022-07-10,497
2022-07-11,1108
2022-07-12,1429
2022-07-13,1434
2022-07-14,885
2022-07-15,1250
2022-07-16,1008
2022-07-17,415
2022-07-18,940
2022-07-19,1512
2022-07-20,1443
2022-07-21,1463
2022-07-22,1654
2022-07-23,1468
2022-07-24,512
2022-07-25,1250
2022-07-26,1549
2022-07-27,1544
2022-07-28,1661
2022-07-29,1715
2022-07-30,1524
2022-07-31,595
2022-08-01,1111
2022-08-02,1351
2022-08-03,1377
2022-08-04,1631
2022-08-05,1682
2022-08-06,1480
2022-08-07,584
2022-08-08,1036
2022-08-09,1360
2022-08-10,1241
2022-08-11,1318
2022-08-12,1365
2022-08-13,1602
2022-08-14,839
2022-08-15,762
2022-08-16,1424
2022-08-17,1448
2022-08-18,1397
2022-08-19,1708
2022-08-20,1660
2022-08-21,981
2022-08-22,1161
2022-08-23,1369
2022-08-24,1337
2022-08-25,1552
2022-08-26,1808
2022-08-27,1687
2022-08-28,583
2022-08-29,1128
2022-08-30,1501
2022-08-31,1466
2022-09-01,1487
2022-09-02,1633
2022-09-03,1552
2022-09-04,605
2022-09-05,1215
2022-09-06,1356
2022-09-07,1458
2022-09-08,1489
2022-09-09,1629
2022-09-10,1527
2022-09-11,578
2022-09-12,1210
2022-09-13,1518
2022-09-14,1528
2022-09-15,1498
2022-09-16,1677
2022-09-17,1787
2022-09-18,830
2022-09-19,1342
2022-09-20,1490
2022-09-21,1497
2022-09-22,1576
2022-09-23,1665
2022-09-24,1523
2022-09-25,788
2022-09-26,1293
2022-09-27,1416
2022-09-28,1372
2022-09-29,1513
2022-09-30,1775
2022-10-01,1811
2022-10-02,860
2022-10-03,1421
2022-10-04,1469
2022-10-05,1535
2022-10-06,1477
2022-10-07,1754
2022-10-08,1619
2022-10-09,655
2022-10-10,1272
2022-10-11,1431
2022-10-12,1406
2022-10-13,1562
2022-10-14,1709
2022-10-15,1709
2022-10-16,753
2022-10-17,1276
2022-10-18,1464
2022-10-19,1491
2022-10-20,1604
2022-10-21,1599
2022-10-22,1711
2022-10-23,641
2022-10-24,1275
2022-10-25,1537
2022-10-26,1564
2022-10-27,1598
2022-10-28,1725
2022-10-29,1680
2022-10-30,1085
2022-10-31,1370
2022-11-01,897
2022-11-02,1625
2022-11-03,1513
2022-11-04,1588
2022-11-05,1656
2022-11-06,947
2022-11-07,1290
2022-11-08,1375
2022-11-09,1489
2022-11-10,1652
2022-11-11,1321
2022-11-12,1709
2022-11-13,897
2022-11-14,1263
2022-11-15,1358
2022-11-16,1592
2022-11-17,1481
2022-11-18,1645
2022-11-19,1584
2022-11-20,606
2022-11-21,1073
2022-11-22,1395
2022-11-23,1473
2022-11-24,1530
2022-11-25,1761
2022-11-26,1667
2022-11-27,674
2022-11-28,1211
2022-11-29,1421
2022-11-30,1429
2022-12-01,1469
2022-12-02,1779
2022-12-03,1645
2022-12-04,1041
2022-12-05,1370
2022-12-06,1512
2022-12-07,1628
2022-12-08,1679
2022-12-09,1772
2022-12-10,1424
2022-12-11,1090
2022-12-12,1305
2022-12-13,1554
2022-12-14,1703
2022-12-15,1722
2022-12-16,1664
2022-12-17,1548
2022-12-18,1124
2022-12-19,1460
2022-12-20,1437
2022-12-21,230
2022-12-22,1828
2022-12-23,1769
2022-12-24,1231
2022-12-25,408
2022-12-26,1203
2022-12-27,1548
2022-12-28,1510
2022-12-29,1424
2022-12-30,1585
2022-12-31,1184
1905-07-15,
2023-01-01,371
2023-01-02,898
2023-01-03,1325
2023-01-04,1390
2023-01-05,1441
2023-01-06,1622
2023-01-07,1510
2023-01-08,415
2023-01-09,1106
2023-01-10,1581
2023-01-11,1469
2023-01-12,1629
2023-01-13,1634
2023-01-14,1674
2023-01-15,523
2023-01-16,1140
2023-01-17,1240
2023-01-18,1169
2023-01-19,1366
2023-01-20,1642
2023-01-21,1674
2023-01-22,502
2023-01-23,1192
2023-01-24,1429
2023-01-25,1400
2023-01-26,1517
2023-01-27,1520
2023-01-28,1552
2023-01-29,515
2023-01-30,1259
2023-01-31,1338
2023-02-01,1428
2023-02-02,1561
2023-02-03,1721
2023-02-04,1633
2023-02-05,522
2023-02-06,1181
2023-02-07,1361
2023-02-08,1511
2023-02-09,1561
2023-02-10,1647
2023-02-11,1427
2023-02-12,567
2023-02-13,1149
2023-02-14,1658
2023-02-15,1566
2023-02-16,1668
2023-02-17,1677
2023-02-18,1574
2023-02-19,810
2023-02-20,1210
2023-02-21,1444
2023-02-22,1495
2023-02-23,1429
2023-02-24,1763
2023-02-25,1616
2023-02-26,521
2023-02-27,1095
2023-02-28,1488
2023-03-01,1513
2023-03-02,1597
2023-03-03,1701
2023-03-04,1616
2023-03-05,602
2023-03-06,1297
2023-03-07,1221
2023-03-08,1451
2023-03-09,1540
2023-03-10,1604
2023-03-11,1283
2023-03-12,619
2023-03-13,1241
2023-03-14,1409
2023-03-15,1458
2023-03-16,1654
2023-03-17,1782
2023-03-18,1623
2023-03-19,562
2023-03-20,1254
2023-03-21,1478
2023-03-22,1535
2023-03-23,1386
2023-03-24,1625
2023-03-25,1674
2023-03-26,473
2023-03-27,1160
2023-03-28,1341
2023-03-29,1504
2023-03-30,1609
2023-03-31,1716
2023-04-01,1435
2023-04-02,524
2023-04-03,1315
2023-04-04,1523
2023-04-05,1629
2023-04-06,1677
2023-04-07,1754
2023-04-08,1694
2023-04-09,804
2023-04-10,710
2023-04-11,1463
2023-04-12,1397
2023-04-13,1394
2023-04-14,1476
2023-04-15,1214
